id,full_name,abbreviation,nickname,city,state,year_founded,arena
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Georgia,1949,State Farm Arena
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946,TD Garden
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970,Rocket Arena
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002,Smoothie King Center
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966,United Center
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980,American Airlines Center
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976,Ball Arena
1610612744,Golden State Warriors,GSW,Warriors,San Francisco,California,1946,Chase Center
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967,Toyota Center
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970,Intuit Dome
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948,Crypto.com Arena
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988,Kaseya Center
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968,Fiserv Forum
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989,Target Center
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976,Barclays Center
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946,Madison Square Garden
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989,Kia Center
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976,Gainbridge Fieldhouse
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949,Xfinity Mobile Arena
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968,Mortgage Matchup Center
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970,Moda Center
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948,Golden 1 Center
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976,Frost Bank Center
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967,Paycom Center
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995,Scotiabank Arena
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974,Delta Center
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995,FedExForum
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961,Capital One Arena
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948,Little Caesars Arena
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988,Spectrum Center
